DUC Interpolation FIR       cos(wn)   sin(wn)         DUC Mixer  DUC Mixer  DDC Mixer  DDC Mixer  DDC halfband 1  DDC halfband 2  DDC SRRC
I Output                                              I Output   Q Output   I Output   Q Output   I Output        I Output        I Output
Quantization 18 bits                                  16 bits    16 bits    16 bits    16 bits    18 bits         18 bits         16 bits

    0                      131072          0          0          0          0          0          0               0               0
    0                      124952      39584          0          0          0          0          0               0               0
    0                      107160      75472          0          0          0          0          0               0               0
    0                       79368     104312          0          0          0          0          0               0               0
    0                       44160     123408          0          0          0          0          0               0               0
    0                        4824     130984          0          0          0          0          0               0               0
    0                      -34960     126328          0          0          0          0          0               0               0
    0                      -71480     109864          0          0          0          0          0               0               0
    0                     -101320      83152          0          0          0          0          0               0               0
    0                     -121704      48672          0          0          0          0          0               0               0
    0                     -130720       9640          0          0          0          0          0               0               0
    0                     -127528     -30288          0          0          0          0          0               0               0
    0                     -112424     -67384          0          0          0          0          0               0               0
    0                      -86824     -98192          0          0          0          0          0               0               0
    0                      -53112    -119824          0          0          0          0          0               0               0
    0                      -14448    -130272          0          0          0          0          0               0               0
    0                       25568    -128552          0          0          0          0          0               0               0
    0                       63200    -114832          0          0          0          0          0               0               0
    0                       94928     -90376          0          0          0          0          0               0               0
    0                      117792     -57488          0          0          0          0          0               0               0
    0                      129656     -19232          0          0          0          0          0               1               0
    0                      129408      20824          0          0          0          0          0              10               0
    0                      117080      58928          0          0          0          0          0              23               0
    0                       93816      91536          0          0          0          0          0              25               0
    0                       61784     115592          0          0          0          0          0               2               0
    0                       23992     128856          0          0          0          0          0             -28               0
    0                      -16048     130088          0          0          0          0          0             -36               0
    0                      -54584     119168          0          0          0          0          0              -7               0
    0                      -88024      97120          0          0          0          0          0              37              -1
    0                     -113240      66000          0          0          0          0          0              59               0
    0                     -127888      28720          0          0          0          0          1              31               2
    0                     -130592     -11248          0          0          0          0          5             -40              -2
    0                     -121096     -50160          0          0          0          0         11             -95              -4
    0                     -100296     -84392          0          0          0          0         16             -77               6
    0                      -70120    -110736          0          0          0          0         24              13               7
    0                      -33408    -126744          0          0          0          0         27             112              -6
    0                        6432    -130912          0          0          0          0         24             134              -1
    0                       45664    -122856          0          0          0          0         17              44              15
    0                       80640    -103328          0          0          0          0          1             -98              -5
    0                      108080     -74152          0          0          0          0        -13            -171             -21
    0                      125432     -38048          0          0          0          0        -29             -95              10
    0                      131064       1608          0          0          0          0        -36              87              14
    0                      124456      41112          0          0          0          0        -37             211             -13
    0                      106232      76784          0          0          0          0        -25             135              24
    0                       78080     105280          0          0          0          0         -7            -120              12
    0                       42640     123944          0          0          0          0         16            -339            -120
    0                        3216     131032          0          0          0          0         37            -268               0
    0                      -36504     125888          0          0          0          0         54             144             322
    0                      -72816     108984          0          0          0          0         59             620             -22
    0                     -102336      81904          0          0          0          0         52             707            -698
    0                     -122288      47176          0          0          0          0         30             129              51
    0                     -130824       8040          0          0          0          0         -1            -865            1393
    0                     -127144     -31848          0          0          0          0        -40           -1539             -80
    0                     -111592     -68760          0          0          0          0        -74           -1141           -2902
    1                      -85616     -99248          0          0          0          0        -94             452             103
    2                      -51640    -120472          0          0          0          0        -97            2375            9707
    4                      -12848    -130440          0         -1          4          0        -77            3131           15343
    6                       27144    -128232          0         -1          4         -1        -39            1562            9707
    9                       64608    -114048          1         -2          9          0         13           -2073             103
   12                       96032     -89208          2         -2         11          0         66           -5743           -2903
   15                      118488     -56040          3         -2         14         -2        112           -6444             -80
   18                      129880     -17640          4         -1         16         -2        137           -1859            1393
   21                      129144      22408          5          1         20          1        134            8035              51
   24                      116344      60360          5          3         23          1        101           20432            -698
   26                       92680      92680          5          5         28          0         44           30735             -22
   26                       60360     116344          3          6         27          0        -28           34735             322
   26                       22408     129144          1          6         24          0        -97           30736               0
   24                      -17640     129880         -1          6         24          1       -151           20432            -120
   21                      -56040     118488         -2          5         22         -1       -171            8035              12
   16                      -89208      96032         -3          3         17          1       -152           -1859              24
   10                     -114048      64608         -2          1          9          0        -95           -6444             -13
    2                     -128232      27144          0          0          0          0         -9           -5744              14
   -6                     -130440     -12848          1          0         -4          0         87           -2073              10
  -14                     -120472     -51640          3          1        -13          1        168            1560             -21
  -22                      -99248     -85616          4          4        -23         -2        212            3131              -4
  -28                      -68760    -111592          4          6        -29          1        200            2376              15
  -33                      -31848    -127144          2          8        -33          0        137             451              -1
  -36                        8040    -130824         -1          9        -36         -2         20           -1141              -6
  -37                       47176    -122288         -3          9        -38          2       -120           -1541               8
  -36                       81904    -102336         -6          7        -37         -1       -252            -865               6
  -32                      108984     -72816         -7          4        -32         -2       -338             128              -4
  -26                      125888     -36504         -6          2        -25          1       -352             708              -2
